food_name,category,region,meal_time,calories_kcal,protein_g,carb_g,fat_g,goal_suitability,diet_type,taste_profile,prep_time,price_range
Fufu and Bitterleaf with Beef,lunch,Southeast/Igbo,"lunch,dinner",530,28,66,20,maintenance,high-protein,bitter-savory,long,medium
Semo and Egusi with Beef,lunch,General,"lunch,dinner",800,38,72,38,weight_gain,high-protein,savory,short,medium
Semo and Okra with Fish,lunch,General,"lunch,dinner",540,28,68,18,weight_gain,high-protein,savory,short,medium
Semo and Efo Riro with Chicken,lunch,General,"lunch,dinner",590,30,68,22,weight_gain,high-protein,savory,short,medium
Semo and Afang with Periwinkle,lunch,South-South,"lunch,dinner",640,32,68,28,weight_gain,high-protein,savory,short,medium
Semo and Oha with Beef,lunch,Southeast/Igbo,"lunch,dinner",570,30,68,22,weight_gain,high-protein,savory,short,medium
Semo and Ogbono with Beef,lunch,General,"lunch,dinner",720,34,70,32,weight_gain,high-protein,savory,short,medium
Tuwo Shinkafa and Miyan Yakuwa,lunch,Hausa/North,"lunch,dinner",470,20,66,14,maintenance,balanced,savory,medium,low
Tuwo Shinkafa and Miyan Karkashi,lunch,Hausa/North,"lunch,dinner",480,22,66,14,maintenance,balanced,savory,medium,low
Masa,breakfast,Hausa/North,"breakfast,snack",280,8,48,8,maintenance,vegetarian,mild-sweet,medium,low
Masa and Miyan Kuka,breakfast,Hausa/North,"breakfast,lunch",420,18,62,14,maintenance,balanced,savory,medium,low
Gwate (Millet Porridge),breakfast,Hausa/North,"breakfast,dinner",260,8,48,6,weight_loss,low-calorie,mild,medium,low
Fura da Nono,breakfast,Hausa/North,"breakfast,snack",220,10,34,6,weight_loss,high-protein,sour-sweet,short,low
Dambu Nama (Shredded Beef),snack,Hausa/North,"snack,lunch,dinner",310,32,8,16,weight_loss,high-protein,spicy-savory,long,medium
Waina (Rice Cake),breakfast,Hausa/North,"breakfast,snack",260,6,46,8,maintenance,vegetarian,mild-sweet,medium,low
Ofe Akwu and Rice,lunch,Southeast/Igbo,"lunch,dinner",680,24,86,26,maintenance,energy-rich,savory,long,medium
Ofe Nsala (White Soup) and Fufu,lunch,Southeast/Igbo,"lunch,dinner",620,30,66,22,weight_gain,high-protein,spicy,long,medium
Ofe Nsala and Pounded Yam,lunch,Southeast/Igbo,"lunch,dinner",780,34,78,28,weight_gain,high-protein,spicy,long,high
Ofe Owerri and Eba,lunch,Southeast/Igbo,"lunch,dinner",590,28,64,22,maintenance,high-protein,savory,long,medium
Abacha and Ugba,snack,Southeast/Igbo,"lunch,snack",400,16,52,16,maintenance,balanced,sour-savory,medium,medium
Nkwobi,snack,Southeast/Igbo,"dinner,snack",380,28,10,26,weight_loss,high-protein,spicy,long,high
Isi Ewu (Goat Head),snack,Southeast/Igbo,"dinner,snack",420,30,12,28,maintenance,high-protein,spicy,long,high
Ofe Onugbu and Pounded Yam,lunch,Southeast/Igbo,"lunch,dinner",760,32,76,28,maintenance,energy-rich,bitter-savory,long,medium
Edikaikong Soup and Eba,lunch,South-South,"lunch,dinner",620,30,64,24,weight_gain,high-protein,savory,medium,medium
Banga Soup and Starch,lunch,South-South,"lunch,dinner",680,28,82,28,weight_gain,energy-rich,savory,long,medium
Ofe Akwu (Palm Nut Soup) and Eba,lunch,South-South,"lunch,dinner",660,26,66,28,maintenance,energy-rich,savory,long,medium
Pepper Soup and Agidi,dinner,South-South,"dinner,snack",290,28,22,10,weight_loss,high-protein,spicy,medium,medium
Snail Pepper Soup,dinner,South-South,"dinner,snack",200,26,6,8,weight_loss,high-protein,spicy,long,high
Afang Soup and Garri,lunch,South-South,"lunch,dinner",640,32,65,26,weight_gain,high-protein,savory,medium,medium
Efo Elegusi,lunch,Yoruba/Southwest,"lunch,dinner",480,24,18,36,weight_gain,high-protein,savory,long,medium
"Abula (Amala, Ewedu, Gbegiri, Stew)",lunch,Yoruba/Southwest,"lunch,dinner",510,28,58,18,weight_gain,high-protein,savory,medium,medium
Adalu (Beans and Corn),lunch,Yoruba/Southwest,"lunch,dinner",420,18,70,10,maintenance,vegetarian,savory,long,low
Efo and Eba,lunch,Yoruba/Southwest,"lunch,dinner",560,26,66,20,maintenance,balanced,savory,short,low
Agidi and Moin Moin,breakfast,Yoruba/Southwest,"breakfast,lunch",310,18,46,8,weight_loss,high-protein,mild,medium,low
Agidi Jollof,breakfast,Yoruba/Southwest,"breakfast,lunch",280,6,52,6,weight_loss,low-calorie,savory,medium,low
Ogi and Akara,breakfast,Yoruba/Southwest,breakfast,340,16,46,12,weight_loss,high-protein,savory,medium,low
White Rice and Banga Soup,lunch,South-South,"lunch,dinner",710,26,90,26,maintenance,energy-rich,savory,long,medium
White Rice and Afang Soup,lunch,South-South,"lunch,dinner",680,28,84,22,maintenance,high-protein,savory,medium,medium
White Rice and Efo Riro,lunch,Yoruba/Southwest,"lunch,dinner",620,24,82,20,maintenance,balanced,savory,medium,medium
Jollof Rice and Plantain and Chicken,lunch,General,"lunch,dinner",780,36,96,24,weight_gain,high-protein,savory-spicy,medium,high
Jollof Rice and Turkey,lunch,General,"lunch,dinner",680,36,78,22,weight_gain,high-protein,savory-spicy,medium,high
Fried Rice and Moi Moi,lunch,General,"lunch,dinner",640,28,84,22,maintenance,high-protein,savory,medium,medium
Rice and Dodo,lunch,General,"breakfast,lunch,dinner",620,16,108,16,maintenance,energy-rich,sweet-savory,medium,low
Ofada Rice and Stew,lunch,Yoruba/Southwest,"lunch,dinner",660,24,82,24,maintenance,balanced,spicy,medium,medium
Yam and Beans Stew,breakfast,General,"breakfast,lunch,dinner",490,20,78,12,maintenance,high-protein,savory,medium,low
Yam and Corned Beef Sauce,breakfast,General,"breakfast,lunch",520,22,72,16,maintenance,balanced,savory,medium,low
Pottage Yam with Stockfish,lunch,General,"lunch,dinner",510,20,78,14,maintenance,high-protein,savory,medium,low
Dundun (Fried Yam) and Egg,breakfast,Yoruba/Southwest,"breakfast,lunch,snack",560,20,74,22,maintenance,balanced,savory,medium,low
Dundun and Gbegiri,breakfast,Yoruba/Southwest,"breakfast,lunch",560,24,76,20,maintenance,balanced,savory,medium,low
Plantain Mosa,snack,Yoruba/Southwest,"breakfast,snack",240,4,42,8,maintenance,vegetarian,sweet,medium,low
Plantain and Egg Stew,breakfast,General,"breakfast,lunch,dinner",540,16,74,22,maintenance,balanced,savory,short,low
Boiled Plantain and Fish Stew,lunch,General,"lunch,dinner",490,28,64,14,weight_gain,high-protein,savory,medium,medium
Boiled Plantain and Vegetable Sauce,lunch,General,"lunch,dinner",420,12,72,12,weight_loss,vegetarian,savory,medium,low
Plantain and Egg and Tomato Stew,breakfast,General,"breakfast,lunch,dinner",560,18,74,22,maintenance,balanced,savory,short,low
Bread and Fried Fish,breakfast,General,"breakfast,lunch,dinner",480,26,52,18,maintenance,high-protein,savory,short,medium
Bread and Beans,breakfast,General,"breakfast,lunch,dinner",450,18,72,12,maintenance,high-protein,savory,medium,low
Bread and Avocado,breakfast,General,"breakfast,lunch",380,8,48,18,weight_loss,balanced,mild,short,medium
Tea and Biscuits,breakfast,General,"breakfast,snack",240,4,40,8,weight_loss,low-calorie,sweet,short,low
Tea and Egg and Bread,breakfast,General,"breakfast,dinner",450,18,56,16,maintenance,balanced,mild,short,low
Milo and Bread,breakfast,General,"breakfast,snack",360,10,60,10,maintenance,low-calorie,sweet,short,low
Ovaltine and Bread,breakfast,General,"breakfast,snack",340,10,58,8,maintenance,low-calorie,sweet,short,low
Indomie with Egg and Vegetables,snack,General,"breakfast,lunch,dinner,snack",490,20,60,20,maintenance,balanced,savory-spicy,short,low
Spaghetti and Meatballs,dinner,General,"lunch,dinner",650,32,78,22,weight_gain,high-protein,savory,medium,medium
Pasta and Chicken Stew,dinner,General,"lunch,dinner",620,32,76,18,weight_gain,high-protein,savory,medium,medium
Macaroni and Egg,dinner,General,"lunch,dinner",540,22,74,16,maintenance,balanced,savory,medium,low
Corn Porridge,breakfast,General,"breakfast,dinner",280,8,52,6,weight_loss,vegetarian,mild,medium,low
Millet Porridge,breakfast,Hausa/North,"breakfast,dinner",260,8,48,6,weight_loss,low-calorie,mild,medium,low
Semolina Pudding,breakfast,General,"breakfast,dinner",300,8,54,6,weight_loss,low-calorie,mild-sweet,short,low
Plantain Flour Porridge,breakfast,General,"breakfast,dinner",310,6,58,6,weight_loss,vegetarian,mild,medium,low
Egg and Tomato Sauce,snack,General,"breakfast,snack,dinner",200,14,8,14,weight_loss,high-protein,savory,short,low
Peppered Gizzard,snack,General,"snack,dinner",250,28,10,12,weight_loss,high-protein,spicy,medium,medium
Peppered Snail,snack,General,"snack,dinner",220,24,10,10,weight_loss,high-protein,spicy,long,high
Asun (Peppered Goat Meat),snack,Yoruba/Southwest,"snack,dinner",300,28,8,18,weight_loss,high-protein,spicy,long,high
Peppered Chicken,snack,General,"snack,dinner",290,32,8,16,weight_loss,high-protein,spicy,medium,high
Fried Chicken,snack,General,"lunch,dinner,snack",380,30,16,22,maintenance,high-protein,savory,medium,high
Barbecue Chicken,snack,General,"lunch,dinner,snack",340,34,6,18,weight_loss,high-protein,smoky-spicy,long,high
Peppered Turkey,snack,General,"snack,dinner",310,34,8,16,weight_loss,high-protein,spicy,medium,high
Kilishi and Kunu,snack,Hausa/North,snack,410,32,32,14,maintenance,high-protein,spicy-sweet,long,medium
Zobo and Chin Chin,snack,General,snack,260,4,44,8,maintenance,indulgent,sweet-sour,medium,low
Kunu and Kulikuli,snack,Hausa/North,"breakfast,snack",310,12,32,14,maintenance,balanced,savory-sweet,long,low
Pap (Akamu) with Milk and Sugar,breakfast,General,"breakfast,dinner",260,6,50,6,weight_loss,low-calorie,sweet,short,low
Scrambled Eggs,breakfast,General,"breakfast,dinner",200,14,2,14,weight_loss,high-protein,savory,short,low
Omelette with Vegetables,breakfast,General,"breakfast,lunch,dinner",240,16,6,16,weight_loss,high-protein,savory,short,low
Egg and Potato Sauce,breakfast,General,"breakfast,lunch",380,16,46,16,maintenance,balanced,savory,medium,low
Egg Stew and Rice,lunch,General,"breakfast,lunch,dinner",520,20,74,16,maintenance,high-protein,savory,medium,low
Coconut Rice and Fish,lunch,South-South,"lunch,dinner",660,28,84,24,maintenance,high-protein,mild-sweet,medium,medium
Coconut Rice and Shrimp,lunch,South-South,"lunch,dinner",640,30,84,22,weight_gain,high-protein,mild-sweet,medium,high
White Rice and Fried Chicken,lunch,General,"lunch,dinner",680,32,80,24,weight_gain,high-protein,savory,medium,medium
White Rice and Grilled Fish,lunch,General,"lunch,dinner",580,30,80,14,weight_gain,high-protein,savory,medium,medium
White Rice and Beef Stew,lunch,General,"breakfast,lunch,dinner",620,30,80,18,weight_gain,high-protein,savory,medium,medium
Jollof Rice and Grilled Fish,lunch,General,"lunch,dinner",600,30,78,18,weight_gain,high-protein,savory-spicy,medium,medium
Jollof Rice and Fried Plantain,lunch,General,"lunch,dinner",680,14,112,18,maintenance,energy-rich,sweet-savory,medium,medium
Fried Rice and Fish,lunch,General,"lunch,dinner",630,32,72,22,weight_gain,high-protein,savory,medium,medium
Fried Rice and Beef,lunch,General,"lunch,dinner",660,34,72,24,weight_gain,high-protein,savory,medium,medium
Rice and Vegetable Stir Fry,lunch,General,"lunch,dinner",480,14,82,12,weight_loss,vegetarian,savory,medium,low
Eba and Okra with Periwinkle,lunch,South-South,"lunch,dinner",550,26,64,18,weight_gain,high-protein,savory,short,medium
Eba and Ogbono with Chicken,lunch,General,"lunch,dinner",730,34,68,32,weight_gain,high-protein,savory,medium,medium
Pounded Yam and Nsala Soup,lunch,Southeast/Igbo,"lunch,dinner",760,34,78,26,weight_gain,high-protein,spicy,long,medium
Amala and Nsala Soup,lunch,Yoruba/Southwest,"lunch,dinner",520,28,58,16,maintenance,high-protein,spicy,medium,medium
Fufu and Nsala Soup,lunch,Southeast/Igbo,"lunch,dinner",580,28,66,20,maintenance,high-protein,spicy,long,medium
Semo and Nsala Soup,lunch,General,"lunch,dinner",560,28,68,18,maintenance,high-protein,spicy,short,medium
Wheat Swallow and Afang Soup,lunch,South-South,"lunch,dinner",560,30,62,22,weight_loss,high-protein,savory,medium,medium
Wheat Swallow and Egusi with Beef,lunch,General,"lunch,dinner",720,36,64,32,weight_gain,high-protein,savory,medium,medium
Wheat Swallow and Ewedu,lunch,Yoruba/Southwest,"lunch,dinner",430,22,58,14,weight_loss,balanced,savory,medium,low
Wheat Swallow and Ogbono,lunch,General,"lunch,dinner",610,28,64,26,maintenance,balanced,savory,medium,low
Akara and Tea,breakfast,General,breakfast,320,14,42,12,weight_loss,high-protein,savory-sweet,medium,low
Moi Moi and Ogi,breakfast,General,"breakfast,dinner",330,18,48,10,weight_loss,high-protein,mild,long,low
Ogi and Akara with Egg,breakfast,Yoruba/Southwest,breakfast,380,20,48,14,weight_loss,high-protein,savory,medium,low
Custard with Banana,breakfast,General,"breakfast,dinner",310,8,58,6,weight_loss,low-calorie,sweet,short,low
Oat and Egg Breakfast Bowl,breakfast,General,breakfast,420,20,56,14,weight_gain,high-protein,mild-savory,short,low
Cereal with Banana and Milk,breakfast,General,breakfast,340,8,62,8,weight_loss,low-calorie,sweet,short,medium
Bread and Peanut Butter,breakfast,General,"breakfast,lunch,snack",400,12,50,18,maintenance,balanced,sweet-savory,short,low
Bread and Jam,breakfast,General,"breakfast,snack",310,6,58,8,maintenance,low-calorie,sweet,short,low
Akara and Ogi with Milk,breakfast,General,breakfast,360,16,50,12,weight_loss,high-protein,savory-sweet,medium,low
Yam Pepper Soup,dinner,General,"lunch,dinner",420,16,74,10,weight_loss,balanced,spicy,medium,medium
Plantain Pepper Soup,dinner,General,dinner,360,14,66,8,weight_loss,balanced,spicy,medium,medium
Ofe Akwu and Fufu,lunch,Southeast/Igbo,"lunch,dinner",670,26,70,28,maintenance,energy-rich,savory,long,medium
Egusi Soup and Pounded Yam,lunch,General,"lunch,dinner",870,36,78,38,weight_gain,energy-rich,savory,long,high
Light Soup and Rice,dinner,General,"lunch,dinner",540,26,80,14,weight_loss,high-protein,spicy,medium,medium
Vegetable Soup and Eba,lunch,General,"lunch,dinner",560,26,64,20,maintenance,balanced,savory,short,low
Buns,snack,General,"breakfast,snack",280,6,40,12,maintenance,indulgent,sweet,medium,low
Coconut Candy,snack,General,snack,140,1,24,6,maintenance,indulgent,sweet,long,low
Roasted Corn,snack,General,snack,130,4,26,2,weight_loss,low-calorie,savory,medium,low
Roasted Corn and Pear (Ube),snack,Southeast/Igbo,snack,280,6,32,14,maintenance,balanced,savory-mild,medium,low
Boiled Groundnuts,snack,General,snack,160,8,8,12,weight_loss,high-protein,savory,medium,low
Fried Fish (Panla),snack,General,"lunch,snack,dinner",220,28,6,10,weight_loss,high-protein,savory,medium,medium
Fried Shrimp,snack,General,"lunch,snack,dinner",200,24,6,10,weight_loss,high-protein,savory-spicy,short,high
Peppered Fish,snack,General,"lunch,snack,dinner",240,28,8,12,weight_loss,high-protein,spicy,medium,medium
Suya and Bread,snack,Hausa/North,"lunch,dinner,snack",460,30,40,18,maintenance,high-protein,spicy-smoky,medium,medium
Shawarma Mini,snack,General,snack,380,22,42,16,maintenance,balanced,savory-spicy,medium,medium
Spring Roll,snack,General,"snack,lunch",320,10,36,16,maintenance,balanced,savory,medium,medium
Samosa,snack,General,"breakfast,snack",300,8,34,16,maintenance,balanced,savory-spicy,medium,medium
Peppersoup Chicken Wings,snack,General,"snack,dinner",310,30,10,18,weight_loss,high-protein,spicy,medium,high
